Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
1.62 23.94 1022.16 28.17 0.032208 -0.036112 1.014064 0.63 0.07 -0.84 -0.1305 -0.4890 -0.6375
1.63 23.94 1022.16 28.17 0.032208 -0.037576 1.013576 0.56 0.07 -0.77 -0.1350 -0.4860 -0.6270
1.64 23.94 1022.10 28.19 0.032208 -0.036112 1.011624 0.56 0.07 -0.77 -0.1260 -0.4905 -0.6375
1.65 23.94 1022.27 28.15 0.030744 -0.035624 1.012600 0.63 0.07 -0.77 -0.1365 -0.4890 -0.6375
1.66 23.94 1022.15 28.15 0.032696 -0.037088 1.011624 0.56 0.07 -0.77 -0.1380 -0.4920 -0.6390
1.67 23.88 1022.15 28.16 0.032208 -0.036112 1.013576 0.63 0.00 -0.84 -0.1320 -0.4815 -0.6375
1.68 23.88 1022.14 28.17 0.032696 -0.037088 1.011624 0.56 0.07 -0.84 -0.1305 -0.4890 -0.6375
1.70 23.88 1022.13 28.18 0.031232 -0.037088 1.012112 0.63 0.07 -0.77 -0.1380 -0.4860 -0.6300
1.72 23.88 1022.12 28.20 0.032696 -0.035624 1.013576 0.56 0.14 -0.77 -0.1305 -0.4965 -0.6345
1.74 23.88 1022.16 28.20 0.032208 -0.037088 1.012600 0.56 0.07 -0.77 -0.1320 -0.4920 -0.6315
1.75 23.88 1022.16 28.20 0.032696 -0.038064 1.011136 0.56 0.00 -0.77 -0.1440 -0.4905 -0.6405
1.76 23.88 1022.15 28.20 0.033184 -0.037576 1.012112 0.63 0.07 -0.77 -0.1365 -0.4935 -0.6360
1.77 23.88 1022.14 28.21 0.032208 -0.036112 1.012600 0.63 0.21 -0.77 -0.1380 -0.4920 -0.6345
1.79 23.94 1022.17 28.20 0.034160 -0.037088 1.011136 0.56 0.07 -0.77 -0.1425 -0.4950 -0.6345
1.80 23.94 1022.16 28.20 0.032208 -0.035136 1.012112 0.63 0.07 -0.77 -0.1350 -0.4935 -0.6255
1.81 23.94 1022.17 28.20 0.032696 -0.035624 1.013088 0.56 0.00 -0.84 -0.1305 -0.4935 -0.6360
1.82 23.94 1022.21 28.17 0.031720 -0.037088 1.011624 0.56 0.00 -0.84 -0.1320 -0.4965 -0.6315
1.83 23.94 1022.21 28.15 0.032696 -0.036112 1.012112 0.63 0.14 -0.77 -0.1365 -0.4965 -0.6330
1.84 23.94 1022.12 28.17 0.030744 -0.036600 1.013088 0.63 0.07 -0.77 -0.1395 -0.4920 -0.6375
1.85 23.94 1022.15 28.17 0.031232 -0.035136 1.012600 0.56 0.07 -0.77 -0.1350 -0.4935 -0.6300
1.86 23.94 1022.20 28.16 0.033672 -0.036600 1.012112 0.56 0.07 -0.77 -0.1440 -0.4935 -0.6285
1.87 23.94 1022.20 28.15 0.033672 -0.036600 1.014064 0.56 0.00 -0.84 -0.1305 -0.4905 -0.6360
1.88 23.94 1022.21 28.13 0.031720 -0.037576 1.012112 0.63 0.07 -0.84 -0.1410 -0.4920 -0.6390
1.89 23.94 1022.16 28.13 0.034160 -0.036600 1.013576 0.63 0.07 -0.77 -0.1395 -0.4905 -0.6345
